                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92668,                 2.5757,                 1.3969,                0.00333,                      1,                0.62865,                0.39692,                0.32078,                 2.8686,                0.99563,                  8e-05,                  8e-05,                  8e-05
                      2,                0.45433,                 2.1199,                 1.0728,                0.00333,                      1,                  0.891,                0.72845,                0.31449,                 2.7528,                0.94818,             0.00017109,             0.00017109,             0.00017109
                      3,                0.30498,                 1.4123,                0.98602,                      1,                 0.1883,                0.89129,                0.73858,                0.37944,                 2.5124,                0.97865,             0.00025228,             0.00025228,             0.00025228
                      4,                0.35808,                 1.0125,                0.96274,                0.89605,                0.96051,                  0.907,                0.85192,                0.36029,                 2.4363,                0.95171,             0.00032357,             0.00032357,             0.00032357
                      5,                0.34906,                 1.0893,                0.95114,                0.89599,                0.95994,                  0.973,                0.91364,                0.45597,                 2.3094,                 1.0211,             0.00038496,             0.00038496,             0.00038496
                      6,                0.40076,                0.84202,                0.98555,                0.99921,                      1,                  0.995,                0.79879,                0.68821,                 1.8998,                 1.1312,             0.00043645,             0.00043645,             0.00043645
                      7,                0.35957,                0.81443,                0.96946,                0.88667,                      1,                  0.984,                0.86445,                0.51158,                 1.5091,                 1.0987,             0.00047804,             0.00047804,             0.00047804
                      8,                0.33612,                0.76898,                 0.9245,                0.88616,                      1,                  0.973,                0.93689,                0.35165,                 1.5634,                0.95007,             0.00050973,             0.00050973,             0.00050973
                      9,                0.35802,                0.71058,                0.94638,                      1,                0.98026,                  0.995,                 0.9205,                 0.4563,                 1.8758,                 1.0712,             0.00053152,             0.00053152,             0.00053152
                     10,                0.31553,                0.66998,                0.95631,                 0.9975,                0.88889,                  0.975,                0.90003,                0.46348,                 1.9847,                 1.0133,             0.00054341,             0.00054341,             0.00054341
                     11,                0.32279,                 1.5026,                0.98595,                0.88946,                0.89462,                  0.984,                 0.9164,                 0.4196,                 1.9468,                 0.9997,              0.0005454,              0.0005454,              0.0005454
                     12,                 0.3638,                  1.376,                0.97818,                0.99464,                      1,                  0.995,                0.88055,                0.43571,                 1.1998,                0.97461,             0.00053749,             0.00053749,             0.00053749
                     13,                0.29457,                 1.0895,                0.91641,                0.99478,                      1,                  0.995,                0.87387,                0.46155,                 1.3403,                 1.0334,             0.00051968,             0.00051968,             0.00051968
                     14,                0.62638,                  1.285,                 1.5763,                0.99482,                      1,                  0.995,                0.85307,                0.48771,                 1.3516,                 1.0951,             0.00049197,             0.00049197,             0.00049197
                     15,                0.31955,                 1.1092,                0.96279,                0.99431,                      1,                  0.995,                0.91488,                0.41255,                 1.2929,                0.94618,             0.00045436,             0.00045436,             0.00045436
                     16,                0.31725,                 1.0874,                0.95908,                0.99348,                      1,                  0.995,                 0.9259,                0.37618,                 1.2026,                0.90916,             0.00040685,             0.00040685,             0.00040685
                     17,                0.31242,                 1.0372,                0.94329,                0.99331,                      1,                  0.995,                0.97165,                0.35081,                 1.2458,                0.94971,             0.00034944,             0.00034944,             0.00034944
                     18,                0.29412,                 1.0157,                0.96307,                0.99405,                      1,                  0.995,                0.94831,                0.32916,                 1.2463,                0.93173,             0.00028213,             0.00028213,             0.00028213
                     19,                0.25626,                0.97493,                0.93104,                0.99346,                      1,                  0.995,                0.96615,                0.29685,                  1.182,                0.89072,             0.00020492,             0.00020492,             0.00020492
                     20,                0.23865,                0.94549,                0.89795,                0.99292,                      1,                  0.995,                0.97668,                0.28782,                 1.0465,                0.85857,             0.00011781,             0.00011781,             0.00011781
